loan_duration,credit_history,purpose,amount,percent_of_income,years_at_residence,age,existing_loans_count,dependents,phone,default
11,critical,car,1393,4,4,35,2,1,no,no
36,good,furniture,2299,4,4,39,1,1,no,no
6,good,car,1352,1,2,23,1,1,yes,no
11,critical,car,7228,1,4,39,2,1,no,no
12,good,furniture,2073,4,2,28,1,1,no,no
24,poor,furniture,2333,4,2,29,1,1,no,no
27,poor,car,5965,1,2,30,2,1,yes,no
12,good,furniture,1262,3,2,25,1,1,no,no
18,good,car,3378,2,1,31,1,1,yes,no
36,poor,car,2225,4,4,57,2,1,yes,yes
6,very good,car,783,1,2,26,1,2,no,no
12,good,furniture,6468,2,1,52,1,1,yes,yes
36,critical,furniture,9566,2,2,31,2,1,no,no
18,good,car,1961,3,2,23,1,1,no,no
36,critical,furniture,6229,4,4,23,2,1,yes,yes
9,good,business,1391,2,1,27,1,1,yes,no
15,critical,furniture,1537,4,4,50,2,1,yes,no
36,perfect,business,1953,4,4,61,1,1,yes,no
48,perfect,business,14421,2,2,25,1,1,yes,yes
24,good,furniture,3181,4,4,26,1,1,yes,no
27,good,renovations,5190,4,4,48,4,2,yes,no
12,good,furniture,2171,2,2,29,1,1,no,no
12,good,car,1007,4,1,22,1,1,no,no
36,good,education,1819,4,4,37,1,1,yes,yes
36,good,furniture,2394,4,4,25,1,1,no,no
36,good,car,8133,1,2,30,1,1,no,no
7,critical,furniture,730,4,2,46,2,1,yes,no
8,critical,car,1164,3,4,51,2,2,yes,no
42,critical,business,5954,2,1,41,2,1,no,no
36,good,education,1977,4,4,40,1,1,yes,no
12,critical,car,1526,4,4,66,2,1,no,no
42,good,furniture,3965,4,3,34,1,1,no,yes
11,poor,furniture,4771,2,4,51,1,1,no,no
54,perfect,car,9436,2,2,39,1,2,no,no
30,good,furniture,3832,2,1,22,1,1,no,no
24,good,furniture,5943,1,1,44,2,1,yes,yes
15,good,furniture,1213,4,3,47,1,1,yes,no
18,good,business,1568,3,4,24,1,1,no,no
24,good,car,1755,4,4,58,1,1,yes,no
10,good,furniture,2315,3,4,52,1,1,no,no
12,critical,business,1412,4,2,29,2,1,yes,no
18,critical,furniture,1295,4,1,27,2,1,no,no
36,good,education,12612,1,4,47,1,2,yes,yes
18,good,car,2249,4,3,30,1,2,yes,no
12,perfect,renovations,1108,4,3,28,2,1,no,no
12,critical,furniture,618,4,4,56,1,1,no,no
12,critical,car,1409,4,3,54,1,1,no,no
12,critical,furniture,797,4,3,33,1,2,no,yes
24,critical,furniture,3617,4,4,20,2,1,no,no
12,good,car,1318,4,4,54,1,1,yes,no
54,perfect,business,15945,3,4,58,1,1,yes,yes
12,critical,education,2012,4,2,61,1,1,no,no
18,good,business,2622,4,4,34,1,1,no,no
36,critical,furniture,2337,4,4,36,1,1,no,no
20,poor,car,7057,3,4,36,2,2,yes,no
24,good,car,1469,4,4,41,1,1,no,no
36,good,furniture,2323,4,4,24,1,1,no,no
6,poor,furniture,932,3,2,24,1,1,no,no
9,critical,furniture,1919,4,3,35,1,1,yes,no
12,good,car,2445,2,4,26,1,1,yes,no
24,critical,car,11938,2,3,39,2,2,yes,yes
18,very good,car,6458,2,4,39,2,2,yes,no
12,good,car,6078,2,2,32,1,1,no,no
24,good,furniture,7721,1,2,30,1,1,yes,no
14,good,business,1410,1,2,35,1,1,yes,no
6,poor,business,1449,1,2,31,2,2,no,no
15,good,education,392,4,4,23,1,1,yes,no
18,good,car,6260,3,3,28,1,1,no,no
36,critical,car,7855,4,2,25,2,1,yes,yes
12,good,furniture,1680,3,1,35,1,1,no,no
48,critical,furniture,3578,4,1,47,1,1,yes,no
42,good,furniture,7174,4,3,30,1,1,yes,yes
10,critical,furniture,2132,2,3,27,2,1,no,no
33,critical,furniture,4281,1,4,23,2,1,no,yes
12,critical,car,2366,3,3,36,1,1,yes,no
21,good,furniture,1835,3,2,25,2,1,yes,yes
24,critical,car,3868,4,2,41,2,1,yes,no
12,good,furniture,1768,3,2,24,1,1,no,no
10,critical,car,781,4,4,63,2,1,yes,no
18,good,furniture,1924,4,3,27,1,1,no,yes
12,critical,car,2121,4,2,30,2,1,no,no
12,good,furniture,701,4,2,40,1,1,no,no
12,good,renovations,639,4,2,30,1,1,no,yes
12,critical,car,1860,4,2,34,2,1,yes,no
12,critical,car,3499,3,2,29,2,1,no,yes
48,good,car,8487,1,2,24,1,1,no,no
36,poor,education,6887,4,3,29,1,1,yes,yes
15,good,furniture,2708,2,3,27,2,1,no,no
18,good,furniture,1984,4,4,47,2,1,no,no
60,good,furniture,10144,2,4,21,1,1,yes,no
12,critical,furniture,1240,4,2,38,2,1,yes,no
27,poor,car,8613,2,2,27,2,1,no,no
12,good,furniture,766,4,3,66,1,1,no,yes
15,critical,furniture,2728,4,2,35,3,1,yes,no
12,good,furniture,1881,2,2,44,1,1,yes,no
6,good,car,709,2,2,27,1,1,no,no
36,good,furniture,4795,4,1,30,1,1,yes,no
27,good,furniture,3416,3,2,27,1,1,no,no
18,good,furniture,2462,2,2,22,1,1,no,yes
21,critical,furniture,2288,4,4,23,1,1,yes,no
48,very good,business,3566,4,2,30,1,1,no,no
6,critical,car,860,1,4,39,2,1,yes,no
12,critical,car,682,4,3,51,2,1,yes,no
36,critical,furniture,5371,3,2,28,2,1,no,no
18,critical,furniture,1582,4,4,46,2,1,no,no
6,good,furniture,1346,2,4,42,1,2,yes,no
10,good,furniture,1924,1,4,38,1,1,yes,no
36,good,furniture,5848,4,1,24,1,1,no,no
24,critical,car,7758,2,4,29,1,1,no,no
24,poor,business,6967,4,4,36,1,1,yes,no
12,good,furniture,1282,2,4,20,1,1,no,yes
9,critical,renovations,1288,3,4,48,2,2,no,no
12,very good,education,339,4,1,45,1,1,no,no
24,good,car,3512,2,3,38,2,1,yes,no
6,critical,furniture,1898,1,2,34,2,2,no,no
24,critical,furniture,2872,3,4,36,1,2,yes,no
18,critical,car,1055,4,1,30,2,1,no,no
15,good,furniture,1262,4,3,36,2,1,yes,no
10,good,car,7308,2,4,70,1,1,yes,no
36,good,car,909,4,4,36,1,1,no,no
6,good,furniture,2978,1,2,32,1,1,yes,no
18,good,furniture,1131,4,2,33,1,1,no,yes
11,good,furniture,1577,4,1,20,1,1,no,no
24,good,furniture,3972,2,4,25,1,1,yes,no
24,critical,business,1935,4,4,31,2,1,yes,yes
15,perfect,car,950,4,3,33,2,2,no,no
12,good,furniture,763,4,1,26,1,1,yes,no
24,poor,furniture,2064,3,2,34,1,1,yes,yes
8,good,furniture,1414,4,2,33,1,1,no,no
21,poor,education,3414,2,1,26,2,1,no,yes
30,very good,car,7485,4,1,53,1,1,yes,yes
12,good,furniture,2577,2,1,42,1,1,no,no
6,critical,furniture,338,4,4,52,2,1,no,no
12,good,furniture,1963,4,2,31,2,2,yes,no
21,critical,car,571,4,4,65,2,1,no,no
36,poor,business,9572,1,1,28,2,1,no,yes
36,poor,business,4455,2,2,30,2,1,yes,yes
21,very good,car,1647,4,2,40,2,2,no,yes
24,critical,furniture,3777,4,4,50,1,1,yes,no
18,critical,car,884,4,4,36,1,2,yes,yes
15,critical,furniture,1360,4,2,31,2,1,no,no
9,very good,car,5129,2,4,74,1,2,yes,no
16,critical,car,1175,2,3,68,3,1,yes,no
12,good,furniture,674,4,1,20,1,1,no,no
18,perfect,furniture,3244,1,4,33,2,1,yes,no
24,good,business,4591,2,3,54,3,1,yes,yes
48,perfect,business,3844,4,4,34,1,2,no,yes
27,good,business,3915,4,2,36,1,2,yes,yes
6,good,furniture,2108,2,2,29,1,1,no,no
45,good,furniture,3031,4,4,21,1,1,no,yes
9,critical,education,1501,2,3,34,2,1,yes,yes
6,critical,furniture,1382,1,1,28,2,1,yes,no
12,good,furniture,951,4,4,27,4,1,no,yes
24,good,car,2760,4,4,36,1,1,yes,no
18,poor,furniture,4297,4,3,40,1,1,yes,yes
9,critical,education,936,4,2,52,2,1,yes,no
12,good,car,1168,4,3,27,1,1,no,no
27,poor,business,5117,3,4,26,2,1,no,no
12,good,education,902,4,4,21,1,1,no,no
12,critical,car,1495,4,1,38,2,2,no,no
30,critical,car,10623,3,4,38,3,2,yes,no
12,critical,furniture,1935,4,4,43,3,1,yes,no
12,critical,furniture,1424,4,3,26,1,1,no,no
24,good,business,6568,2,2,21,1,1,no,no
12,good,car,1413,3,2,55,1,1,no,no
9,critical,furniture,3074,1,2,33,2,2,no,no
36,good,furniture,3835,2,4,45,1,1,yes,no
27,perfect,business,5293,2,4,50,2,1,yes,yes
30,poor,business,1908,4,4,66,1,1,yes,yes
36,critical,furniture,3342,4,2,51,1,1,yes,no
6,critical,education,932,1,3,39,2,1,no,no
18,perfect,business,3104,3,1,31,1,1,yes,no
36,good,furniture,3913,2,2,23,1,1,yes,no
24,good,furniture,3021,2,2,24,1,1,no,no
10,good,car,1364,2,4,64,1,1,yes,no
12,good,furniture,625,4,1,26,1,1,no,no
12,good,education,1200,4,4,23,1,1,yes,no
12,good,furniture,707,4,2,30,2,1,no,no
24,poor,business,2978,4,4,32,2,2,yes,no
15,good,car,4657,3,2,30,1,1,yes,no
36,perfect,renovations,2613,4,2,27,2,1,no,no
48,good,furniture,10961,1,2,27,2,1,yes,yes
12,good,furniture,7865,4,4,53,1,1,yes,yes
9,good,furniture,1478,4,2,22,1,1,no,no
24,good,furniture,3149,4,1,22,1,1,no,no
36,good,furniture,4210,4,2,26,1,1,no,yes
9,good,car,2507,2,4,51,1,1,no,no
12,good,furniture,2141,3,1,35,1,1,no,no
18,good,furniture,866,4,2,25,1,1,no,no
4,critical,furniture,1544,2,1,42,3,2,no,no
24,good,furniture,1823,4,2,30,1,2,no,yes
6,good,car,14555,1,2,23,1,1,yes,yes
21,good,business,2767,4,2,61,2,1,no,no
12,critical,furniture,1291,4,2,35,2,1,no,no
30,good,furniture,2522,1,3,39,1,2,no,no
24,good,car,915,4,2,29,1,1,no,no
6,good,furniture,1595,3,2,51,1,2,no,no
48,perfect,car,4605,3,4,24,2,2,no,yes
12,critical,business,1185,3,2,27,2,1,no,no
12,very good,education,3447,4,3,35,1,2,no,no
24,good,business,1258,4,1,25,1,1,yes,no
12,critical,furniture,717,4,4,52,3,1,no,no
6,perfect,car,1204,4,1,35,1,1,no,no
24,good,furniture,1925,2,2,26,1,1,no,no
18,good,furniture,433,3,4,22,1,1,no,yes
6,critical,car,666,3,4,39,2,1,yes,no
12,good,furniture,2251,1,2,46,1,1,no,no
30,good,car,2150,4,2,24,1,1,no,yes
24,poor,furniture,4151,2,3,35,2,1,no,no
9,good,furniture,2030,2,1,24,1,1,yes,no
60,poor,furniture,7418,1,1,27,1,1,no,no
24,critical,furniture,2684,4,2,35,2,1,no,no
12,very good,furniture,2149,4,1,29,1,1,no,yes
15,good,car,3812,1,4,23,1,1,yes,no
11,critical,furniture,1154,4,4,57,3,1,no,no
12,good,furniture,1657,2,2,27,1,1,no,no
24,good,furniture,1603,4,4,55,1,1,no,no
18,critical,car,5302,2,4,36,3,1,yes,no
12,critical,education,2748,2,4,57,3,1,no,no
10,critical,car,1231,3,4,32,2,2,no,no
15,good,furniture,802,4,3,37,1,2,no,no
36,critical,business,6304,4,4,36,2,1,no,no
24,good,furniture,1533,4,3,38,1,1,yes,no
14,good,car,8978,1,4,45,1,1,yes,yes
24,good,furniture,999,4,2,25,2,1,no,no
18,good,car,2662,4,3,32,1,1,no,no
12,critical,furniture,1402,3,4,37,1,1,yes,no
48,very good,car,12169,4,4,36,1,1,yes,no
48,good,furniture,3060,4,4,28,2,1,no,no
30,good,renovations,11998,1,1,34,1,1,yes,yes
9,good,furniture,2697,1,2,32,1,2,no,no
18,critical,furniture,2404,2,2,26,2,1,no,no
12,good,furniture,1262,2,4,49,1,1,yes,no
6,good,furniture,4611,1,4,32,1,1,no,yes
24,good,furniture,1901,4,4,29,1,1,yes,no
15,critical,car,3368,3,4,23,2,1,yes,no
12,good,furniture,1574,4,2,50,1,1,no,no
18,very good,furniture,1445,4,4,49,1,1,no,no
15,critical,furniture,1520,4,4,63,1,1,no,no
24,critical,car,3878,4,2,37,1,1,yes,no
47,good,car,10722,1,1,35,1,1,yes,no
48,good,car,4788,4,3,26,1,2,no,no
48,poor,car,7582,2,4,31,1,1,yes,no
12,good,furniture,1092,4,4,49,2,1,yes,no
24,poor,furniture,1024,4,4,48,1,1,no,yes
12,good,business,1076,2,2,26,1,1,yes,no
36,good,car,9398,1,4,28,1,1,yes,yes
24,critical,car,6419,2,4,44,2,2,yes,no
42,critical,car,4796,4,4,56,1,1,no,no
48,critical,business,7629,4,2,46,2,2,no,no
48,good,furniture,9960,1,2,26,1,1,yes,yes
12,good,car,4675,1,4,20,1,1,no,no
10,good,car,1287,4,2,45,1,1,no,no
18,good,furniture,2515,3,4,43,1,1,yes,no
21,critical,furniture,2745,3,2,32,2,1,yes,no
6,good,car,672,1,4,54,1,1,yes,no
36,perfect,furniture,3804,4,1,42,1,1,yes,yes
24,critical,car,1344,4,2,37,2,2,no,yes
10,critical,car,1038,4,3,49,2,1,yes,no
48,critical,car,10127,2,2,44,1,1,no,yes
6,good,furniture,1543,4,2,33,1,1,no,no
30,good,car,4811,2,4,24,1,1,no,no
12,good,furniture,727,4,3,33,1,1,yes,yes
8,good,furniture,1237,3,4,24,1,1,no,yes
9,good,car,276,4,4,22,1,1,no,no
48,good,car,5381,3,4,40,1,1,yes,no
24,good,furniture,5511,4,1,25,1,1,no,no
24,good,furniture,3749,2,4,26,1,1,no,no
12,good,car,685,2,3,25,1,1,no,no
4,good,car,1494,1,2,29,1,2,no,no
36,very good,furniture,2746,4,4,31,1,1,no,no
12,good,furniture,708,2,3,38,1,2,no,no
24,good,furniture,4351,1,4,48,1,1,yes,no
12,critical,education,701,4,2,32,2,1,no,no
15,poor,furniture,3643,1,4,27,2,1,no,no
30,critical,car,4249,4,2,28,2,1,no,yes
24,good,furniture,1938,4,3,32,1,1,no,yes
24,good,car,2910,2,1,34,1,1,yes,no
18,good,furniture,2659,4,2,28,1,1,no,no
18,critical,car,1028,4,3,36,2,1,no,no
8,critical,car,3398,1,4,39,2,1,no,no
12,critical,furniture,5801,2,4,49,1,1,yes,no
24,good,car,1525,4,3,34,1,2,yes,no
36,good,furniture,4473,4,2,31,1,1,no,no
6,good,furniture,1068,4,4,28,1,2,no,no
24,critical,car,6615,2,4,75,2,1,yes,no
18,critical,education,1864,4,2,30,2,1,no,yes
60,good,car,7408,4,2,24,1,1,no,yes
48,critical,car,11590,2,4,24,2,1,no,yes
24,perfect,furniture,4110,3,4,23,2,2,no,yes
6,critical,furniture,3384,1,4,44,1,1,yes,yes
13,good,furniture,2101,2,4,23,1,1,no,no
15,good,furniture,1275,4,2,24,1,1,no,yes
24,good,furniture,4169,4,4,28,1,1,no,no
10,good,furniture,1521,4,2,31,1,1,no,no
24,critical,education,5743,2,4,24,2,1,yes,no
21,good,furniture,3599,1,4,26,1,1,no,no
18,good,furniture,3213,1,3,25,1,1,no,no
18,good,business,4439,1,1,33,1,1,yes,no
10,good,car,3949,1,1,37,1,2,no,no
15,critical,furniture,1459,4,2,43,1,1,no,no
13,critical,furniture,882,4,4,23,2,1,no,no
24,good,furniture,3758,1,4,23,1,1,no,no
6,poor,business,1743,1,2,34,2,1,no,no
9,critical,education,1136,4,3,32,2,2,no,yes
9,good,furniture,1236,1,4,23,1,1,yes,no
9,good,furniture,959,1,2,29,1,1,no,yes
18,critical,car,3229,2,4,38,1,1,yes,no
12,perfect,furniture,6199,4,2,28,2,1,yes,yes
10,good,education,727,4,4,46,1,1,yes,no
24,good,car,1246,4,2,23,1,1,no,yes
12,critical,furniture,2331,1,4,49,1,1,yes,no
36,poor,furniture,4463,4,2,26,2,1,yes,yes
12,good,furniture,776,4,2,28,1,1,no,no
30,good,furniture,2406,4,4,23,1,1,no,no
18,good,education,1239,4,4,61,1,1,no,no
12,good,furniture,3399,2,3,37,1,1,no,no
12,poor,car,2247,2,2,36,2,1,yes,no
6,good,furniture,1766,1,2,21,1,1,no,no
18,good,furniture,2473,4,1,25,1,1,no,yes
12,good,business,1542,2,4,36,1,1,yes,no
18,critical,car,3850,3,1,27,2,1,no,no
18,good,furniture,3650,1,4,22,1,1,no,no
36,good,furniture,3446,4,2,42,1,2,no,no
18,good,furniture,3001,2,4,40,1,1,no,no
36,good,car,3079,4,4,36,1,1,no,no
18,critical,furniture,6070,3,4,33,2,1,yes,no
10,critical,furniture,2146,1,3,23,2,1,no,no
60,critical,car,13756,2,4,63,1,1,yes,no
60,very good,car,14782,3,4,60,2,1,yes,no
48,very good,business,7685,2,4,37,1,1,no,no
18,poor,furniture,2320,2,3,34,2,1,no,no
7,poor,furniture,846,3,4,36,1,1,no,no
36,good,car,14318,4,2,57,1,1,yes,yes
6,critical,car,362,4,4,52,2,1,no,no
20,good,furniture,2212,4,4,39,1,1,yes,no
18,good,car,12976,3,4,38,1,1,yes,yes
22,good,car,1283,4,4,25,1,1,no,no
12,good,car,1330,4,1,26,1,1,no,no
30,poor,business,4272,2,2,26,2,1,no,no
18,critical,furniture,2238,2,1,25,2,1,no,no
18,good,furniture,1126,4,2,21,1,1,yes,no
18,critical,furniture,7374,4,4,40,2,1,yes,no
15,critical,business,2326,2,4,27,1,1,no,no
9,good,business,1449,3,2,27,2,1,no,no
18,good,car,1820,2,2,30,1,1,yes,no
12,good,furniture,983,1,4,19,1,1,no,no
36,good,car,3249,2,4,39,1,2,yes,no
6,critical,furniture,1957,1,4,31,1,1,no,no
9,critical,furniture,2406,2,3,31,1,1,no,no
39,poor,education,11760,2,3,32,1,1,yes,no
12,good,furniture,2578,3,4,55,1,1,no,no
36,critical,furniture,2348,3,2,46,2,1,yes,no
12,good,car,1223,1,1,46,2,1,no,no
24,critical,furniture,1516,4,1,43,2,1,no,no
18,good,furniture,1473,3,4,39,1,1,yes,no
18,critical,business,1887,4,4,28,2,1,no,no
24,poor,business,8648,2,2,27,2,1,yes,yes
14,poor,car,802,4,2,27,2,1,no,no
18,poor,car,2899,4,4,43,1,2,no,no
24,good,furniture,2039,1,1,22,1,1,yes,yes
24,critical,car,2197,4,4,43,2,2,yes,no
15,good,furniture,1053,4,2,27,1,1,no,no
24,good,furniture,3235,3,2,26,1,1,yes,no
12,critical,car,939,4,2,28,3,1,yes,yes
24,good,furniture,1967,4,4,20,1,1,yes,no
33,critical,car,7253,3,2,35,2,1,yes,no
12,critical,business,2292,4,2,42,2,1,yes,yes
10,good,car,1597,3,2,40,1,2,no,no
24,good,car,1381,4,2,35,1,1,no,yes
36,critical,car,5842,2,2,35,2,2,yes,no
12,good,car,2579,4,1,33,1,2,no,yes
18,poor,education,8471,1,2,23,2,1,yes,no
21,good,car,2782,1,2,31,1,1,no,no
18,good,car,1042,4,2,33,1,1,no,yes
15,good,car,3186,2,3,20,1,1,no,no
12,good,car,2028,4,2,30,1,1,no,no
12,critical,car,958,2,3,47,2,2,no,no
21,poor,furniture,1591,4,3,34,2,1,no,no
12,good,furniture,2762,1,2,25,1,1,yes,no
18,good,car,2779,1,3,21,1,1,yes,no
28,critical,furniture,2743,4,2,29,2,1,no,no
18,critical,furniture,1149,4,3,46,2,1,no,no
9,good,furniture,1313,1,4,20,1,1,no,no
18,critical,renovations,1190,2,4,55,3,2,no,yes
5,good,business,3448,1,4,74,1,1,no,no
24,good,car,11328,2,3,29,2,1,yes,yes
6,critical,furniture,1872,4,4,36,3,1,yes,no
24,critical,renovations,2058,4,2,33,2,1,yes,no
9,good,furniture,2136,3,2,25,1,1,no,no
12,good,furniture,1484,2,1,25,1,1,yes,yes
6,good,renovations,660,2,4,23,1,1,no,no
24,critical,car,1287,4,4,37,2,1,yes,no
42,critical,renovations,3394,4,4,65,2,1,no,no
12,very good,business,609,4,1,26,1,1,no,yes
12,good,car,1884,4,4,39,1,1,yes,no
12,good,furniture,1620,2,3,30,1,1,no,no
20,poor,car,2629,2,3,29,2,1,yes,no
12,good,education,719,4,4,41,1,2,no,no
48,critical,furniture,5096,2,3,30,1,1,yes,yes
9,critical,education,1244,4,4,41,2,1,no,no
36,good,car,1842,4,4,34,1,1,yes,yes
7,good,furniture,2576,2,2,35,1,1,no,no
12,good,furniture,1424,3,4,55,1,1,yes,no
15,poor,renovations,1512,3,3,61,2,1,no,yes
36,critical,car,11054,4,2,30,1,1,yes,no
6,good,furniture,518,3,1,29,1,1,no,no
12,perfect,furniture,2759,2,4,34,2,1,no,no
24,good,car,2670,4,4,35,1,1,yes,no
24,good,car,4817,2,3,31,1,1,yes,no
24,good,car,2679,4,1,29,1,1,yes,no
11,critical,car,3905,2,2,36,2,2,no,no
12,good,car,3386,3,4,35,1,1,yes,no
6,good,furniture,343,4,1,27,1,1,no,no
18,good,furniture,4594,3,2,32,1,1,yes,no
36,good,furniture,3620,1,2,37,1,2,no,no
15,good,car,1721,2,3,36,1,1,no,no
12,good,furniture,3017,3,1,34,1,1,no,no
12,good,education,754,4,4,38,2,1,no,no
18,good,business,1950,4,1,34,2,1,yes,no
24,good,car,2924,3,4,63,1,2,yes,no
24,poor,furniture,1659,4,2,29,1,1,yes,yes
48,poor,furniture,7238,3,3,32,2,2,no,no
33,poor,business,2764,2,2,26,2,1,yes,no
24,poor,car,4679,3,3,35,2,1,yes,no
24,good,furniture,3092,3,2,22,1,1,yes,yes
6,good,education,448,4,4,23,1,1,no,yes
9,good,car,654,4,3,28,1,1,no,yes
6,good,education,1238,4,4,36,1,2,yes,no
18,critical,furniture,1245,4,2,33,1,1,no,yes
18,perfect,furniture,3114,1,4,26,1,1,no,yes
39,good,car,2569,4,4,24,1,1,no,no
24,good,furniture,5152,4,2,25,1,1,no,no
12,good,business,1037,3,4,39,1,1,no,no
15,critical,furniture,1478,4,4,44,2,2,yes,no
12,critical,furniture,3573,1,1,23,1,1,no,no
24,good,car,1201,4,1,26,1,1,no,no
30,good,furniture,3622,4,4,57,2,1,yes,no
15,poor,furniture,960,3,2,30,2,1,no,no
12,critical,car,1163,4,4,44,1,1,yes,no
6,poor,car,1209,4,4,47,1,1,yes,yes
12,good,furniture,3077,2,4,52,1,1,yes,no
24,good,car,3757,4,4,62,1,1,yes,no
10,good,car,1418,3,2,35,1,1,no,no
6,good,car,3518,2,3,26,1,1,no,no
12,critical,furniture,1934,2,2,26,2,1,no,no
27,perfect,business,8318,2,4,42,2,1,yes,yes
6,critical,furniture,1237,1,1,27,2,1,no,no
6,good,furniture,368,4,4,38,1,1,no,no
12,critical,car,2122,3,2,39,2,2,no,no
24,good,furniture,2996,2,4,20,1,1,no,yes
36,good,furniture,9034,4,1,29,1,1,yes,yes
24,critical,furniture,1585,4,3,40,2,1,no,no
18,good,furniture,1301,4,2,32,1,1,no,no
6,critical,car,1323,2,4,28,2,2,yes,no
24,good,car,3123,4,1,27,1,1,no,yes
36,good,car,5493,2,4,42,1,2,no,no
9,good,furniture,1126,2,4,49,1,1,no,no
24,critical,furniture,1216,4,4,38,2,2,no,yes
24,good,car,1207,4,4,24,1,1,no,yes
10,good,car,1309,4,4,27,1,1,no,yes
15,critical,car,2360,2,2,36,1,1,yes,no
15,very good,car,6850,1,2,34,1,2,yes,yes
24,good,furniture,1413,4,2,28,1,1,no,no
39,good,car,8588,4,2,45,1,1,yes,no
12,good,car,759,4,2,26,1,1,no,no
36,good,car,4686,2,2,32,1,1,yes,no
15,good,business,2687,2,4,26,1,1,yes,no
12,poor,furniture,585,4,4,20,2,1,no,no
24,good,car,2255,4,1,54,1,1,no,no
6,critical,car,609,4,3,37,2,1,no,no
6,critical,car,1361,2,4,40,1,2,no,no
36,critical,furniture,7127,2,4,23,2,1,yes,yes
6,good,car,1203,3,2,43,1,1,yes,no
6,critical,furniture,700,4,4,36,2,1,no,no
24,critical,renovations,5507,3,4,44,2,1,no,no
18,good,furniture,3190,2,2,24,1,1,no,yes
48,perfect,furniture,7119,3,4,53,2,2,no,yes
24,good,car,3488,3,4,23,1,1,no,no
18,good,furniture,1113,4,4,26,1,2,no,no
26,good,car,7966,2,3,30,2,1,no,no
15,critical,education,1532,4,3,31,1,1,no,no
4,critical,furniture,1503,2,1,42,2,2,no,no
36,good,furniture,2302,4,4,31,1,1,no,yes
6,good,car,662,3,4,41,1,2,yes,no
36,good,education,2273,3,1,32,2,2,no,no
15,good,car,2631,2,4,28,2,1,yes,yes
12,poor,car,1503,4,4,41,1,1,no,no
24,good,furniture,1311,4,3,26,1,1,yes,no
24,good,furniture,3105,4,2,25,2,1,no,no
21,critical,education,2319,2,1,33,1,1,no,yes
6,good,car,1374,4,3,75,1,1,yes,no
18,critical,furniture,3612,3,4,37,1,1,yes,no
48,good,car,7763,4,4,42,1,1,no,yes
18,good,furniture,3049,1,1,45,1,1,no,no
12,good,furniture,1534,1,1,23,1,1,no,yes
24,poor,car,2032,4,4,60,2,1,yes,no
30,good,furniture,6350,4,4,31,1,1,no,no
18,good,furniture,2864,2,1,34,1,2,no,yes
12,critical,car,1255,4,4,61,2,1,no,no
24,poor,car,1333,4,2,43,2,2,no,yes
24,critical,car,2022,4,4,37,1,1,yes,no
24,good,furniture,1552,3,1,32,1,2,no,no
12,very good,furniture,626,4,4,24,1,1,no,yes
48,critical,car,8858,2,1,35,2,1,yes,no
12,critical,renovations,996,4,4,23,2,1,no,no
6,very good,furniture,1750,2,4,45,1,2,no,no
48,good,furniture,6999,1,1,34,2,1,yes,yes
12,critical,car,1995,4,1,27,1,1,no,no
9,good,education,1199,4,4,67,2,1,yes,no
